ECHO10 Granule Elements,,,,,,,,,,,,,,,,,,,,,,Spatial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* = GCMD controlled: https://gcmd.nasa.gov/learn/keyword_list.html
Indicators of Coastal Water Quality: Annual Chlorophyll-a Concentration 1998-2007 (G1403344395-SEDAC) - y2000-geotiff.zip,OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,OK,np,OK,OK,np,np,np,np,np,np,np,np,np,"Adam Sisco; 8/21/2017, 3:07 PM

Patrick Staton, 8/22/2017, 1:25 PM",,,,,,,,,
Indicators of Coastal Water Quality: Change in Chlorophyll-a Concentration 1998-2007 (G1403362848-SEDAC) - timeseries-global.zip,OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,GET WEB MAP SERVICES should be changed to WEB MAP SERVICE (WMS) to comply with UMM URL types.,"Add a forward slash to ""applicationgml+xml"" to properly list the mime type:

application/gml+xml",OK,OK,np,np,np,np,np,Recommend removing the URL in the Provider Browse URL element since it is a repeat of an Online Resource URL.,np,np,np,"Adam Sisco; 8/21/2017, 3:23 PM

Patrick Staton, 8/22/2017, 1:27 PM",,,,,,,,,
"Last of the Wild Project, Version 1, 2002 (LWP-1): Global Human Footprint Dataset (Geographic) (G1403363510-SEDAC) - hfootp-geo.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,OK,np,OK,OK,np,np,np,np,np,np,np,np,np,"Adam Sisco; 8/22/2017, 8:06 AM

Patrick Staton, 8/22/2017, 1:28 PM",,,,,,,,,
"Last of the Wild Project, Version 1, 2002 (LWP-1): Global Human Footprint Dataset (IGHP) (G1403363629-SEDAC) - hfootp-ighp.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,OK,np,OK,OK,np,np,np,np,np,np,np,np,np,"Adam Sisco; 8/22/2017, 8:17 AM

Patrick Staton, 8/22/2017, 1:30 PM",,,,,,,,,
"Last of the Wild Project, Version 1, 2002 (LWP-1): Last of the Wild Dataset (Geographic) (G1403365242-SEDAC) - ltw-geo.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,Three rows of whitespace appear in the native format. These can be removed.,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,OK,np,OK,"The collection level distribution format is listed as ""E00"" while the granule data format is listed as ""ARCE."" These both appear to represent the ESRI ArcInfo interchange file format, also known as ArcInfo export files (more here: https://www.loc.gov/preservation/digital/formats/fdd/fdd000291.shtml).

Unless SEDAC has reason not to, recommend making the format consistent across the collection and granule level metadata.",np,np,np,np,np,np,np,np,np,"Adam Sisco; 8/22/2017, 8:31 AM

Patrick Staton, 8/22/2017, 1:32 PM",,,,,,,,,
"Last of the Wild Project, Version 1, 2002 (LWP-1): Last of the Wild Dataset (IGHP) (G1403365379-SEDAC) - ltw-ighp.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,Three rows of whitespace appear in the native format. These can be removed.,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,"The description reads ""Geographic"" when it should read ""IGHP"" for this data set.",np,OK,OK,OK,np,OK,"The collection level distribution format is listed as ""E00"" while the granule data format is listed as ""ARCE."" These both appear to represent the ESRI ArcInfo interchange file format, also known as ArcInfo export files (more here: https://www.loc.gov/preservation/digital/formats/fdd/fdd000291.shtml).

Unless SEDAC has reason not to, recommend making the format consistent across the collection and granule level metadata.",np,np,np,np,np,np,np,np,np,"Adam Sisco; 8/22/2017, 8:39 AM

Patrick Staton, 8/22/2017, 1:33 PM",,,,,,,,,
"Last of the Wild Project, Version 1, 2002 (LWP-1): Top One Percent Wild Areas Dataset (Geographic) (G1403365400-SEDAC) - wild-seed-geo.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,"1. The description reads ""IGHP"" when it should read ""Geographic"" for this data set.

2. Remove the space in ""Datase t""",np,OK,OK,OK,np,OK,"The collection level distribution format is listed as ""E00"" while the granule data format is listed as ""ARCE."" These both appear to represent the ESRI ArcInfo interchange file format, also known as ArcInfo export files (more here: https://www.loc.gov/preservation/digital/formats/fdd/fdd000291.shtml).

Unless SEDAC has reason not to, recommend making the format consistent across the collection and granule level metadata.",np,np,np,np,np,np,np,np,np,"Adam Sisco; 8/22/2017, 8:46 AM

Patrick Staton, 8/22/2017, 1:34 PM",,,,,,,,,
"Last of the Wild Project, Version 1, 2002 (LWP-1): Top One Percent Wild Areas Dataset (IGHP) (G1403365301-SEDAC) - wild-seed-ighp.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,"Remove the space in ""Datase t""",np,OK,OK,OK,np,OK,"The collection level distribution format is listed as ""E00"" while the granule data format is listed as ""ARCE."" These both appear to represent the ESRI ArcInfo interchange file format, also known as ArcInfo export files (more here: https://www.loc.gov/preservation/digital/formats/fdd/fdd000291.shtml).

Unless SEDAC has reason not to, recommend making the format consistent across the collection and granule level metadata.",np,np,np,np,np,np,np,np,np,"Patrick Staton, 8/22/2017, 9:58 AM

Adam Sisco; 8/23/2017, 8:17 AM",,,,,,,,,
"Last of the Wild Project, Version 2, 2005 (LWP-2): Global Human Footprint Dataset (Geographic) (G1401921478-SEDAC) - hfp-africa-geo-grid.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,OK,np,OK,OK,np,np,np,np,np,Recommend removing the URL in the Provider Browse URL element since it is a repeat of an Online Resource URL.,np,np,np,"Patrick Staton, 8/22/2017, 10:23 AM

Adam Sisco; 8/23/2017, 8:25 AM",,,,,,,,,
"Last of the Wild Project, Version 2, 2005 (LWP-2): Global Human Footprint Dataset (IGHP) (G1406620162-SEDAC) - hfp-global-ighp-grid.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,OK,np,OK,OK,np,np,np,np,np,np,np,np,np,"Patrick Staton, 8/22/2017, 10:41 AM

Adam Sisco; 8/23/2017, 8:31 AM",,,,,,,,,
"Last of the Wild Project, Version 2, 2005 (LWP-2): Global Human Influence Index (HII) Dataset (Geographic) (G1403565402-SEDAC) - hii-europe-geo-grid.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,OK,np,OK,OK,np,np,np,np,np,Recommend removing the URL in the Provider Browse URL element since it is a repeat of an Online Resource URL.,np,np,np,"Patrick Staton, 8/22/2017, 12:02 PM

Adam Sisco; 8/23/2017, 8:50 AM",,,,,,,,,
"Last of the Wild Project, Version 2, 2005 (LWP-2): Global Human Influence Index (HII) Dataset (IGHP) (G1424637375-SEDAC) - hii-global-ighp-grid.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,OK,np,OK,OK,np,np,np,np,np,np,np,np,np,"Adam Sisco; 11/29/2017, 4:13 PM",,,,,,,,,
"Last of the Wild Project, Version 2, 2005 (LWP-2): Last of the Wild Dataset (Geographic) (G1401927637-SEDAC) - ltw-n-america-geo-grid.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,"The link provided in the metadata (http://sedac.ciesin.columbia.edu/downloads/data/wildareas-v2/wildareas-v2-human-influence-index-geographic/ltw-n-america-geo-grid.zip) is incorrect. It should be replaced with:

http://sedac.ciesin.columbia.edu/downloads/data/wildareas-v2/wildareas-v2-last-of-the-wild-geographic/ltw-n-america-geo-grid.zip",OK,np,"The PDF and PNG online resource URLs should be replaced with the following:

PDF: http://sedac.ciesin.columbia.edu/downloads/maps/wildareas-v2/wildareas-v2-last-of-the-wild-geographic/ltw-north-america.pdf

PNG: http://sedac.ciesin.columbia.edu/downloads/maps/wildareas-v2/wildareas-v2-last-of-the-wild-geographic/ltw-north-america.png",OK,OK,np,np,OK,np,np,np,np,np,"Recommend removing the URL in the Provider Browse URL element since it is a repeat of an Online Resource URL.

If kept, it should be replaced with the following working URL:

http://sedac.ciesin.columbia.edu/downloads/maps/wildareas-v2/wildareas-v2-last-of-the-wild-geographic/ltw-north-america.pdf",np,np,np,"Patrick Staton, 8/22/2017, 12:19 PM

Adam Sisco; 8/23/2017, 8:59 AM",,,,,,,,,
"Last of the Wild Project, Version 2, 2005 (LWP-2): Last of the Wild Dataset (IGHP) (G1403609161-SEDAC) - ltw-global-ighp-grid.zip",OK,OK,OK,np,OK,OK,np,np,np,OK,np,np,np,OK,OK,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,OK,OK,OK,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,np,np,OK,OK,np,np,np,np,np,np,OK,np,np,np,np,np,np,np,np,OK,OK,OK,np,OK,OK,OK,np,OK,OK,np,np,np,np,np,np,np,np,np,"Patrick Staton, 8/22/2017, 12:32 PM

Adam Sisco; 8/23/2017, 9:05 AM",,,,,,,,,
