South Bounding, West Bounding, North Bounding, East Bounding
1.89994,10.73472,3.8784,12.7532
-3.88521,9.50041,-1.90691,11.5217
1.89971,13.8231,3.87819,15.84202
0.45364,13.51568,2.43195,15.5328
-0.99269,13.20749,0.98561,15.22486
-2.43896,12.89872,-0.46068,14.91753
-3.88509,12.58906,-1.90677,14.61055
-5.33156,12.27808,-3.35323,14.30371
1.90015,9.1967,3.87815,11.21518
0.45376,8.88982,2.43158,10.90624
-0.99243,8.58178,0.98547,10.59918
-2.43853,8.27337,-0.46061,10.29248
-2.4389,14.4638,-0.46106,16.48248
-3.88508,14.15457,-1.90723,16.17602
1.90028,13.84566,3.87818,15.86448
1.90013,13.80559,3.87805,15.82404
0.45368,13.4987,2.43151,15.51526
-0.99252,13.1911,0.9853,15.20789
-2.43861,12.88291,-0.46083,14.90107
-3.88509,12.57381,-1.90732,14.59461
-5.3312,12.26344,-3.35335,14.28835
1.89993,9.16178,3.87787,11.17996
0.4537,8.85503,2.43155,10.87108
-0.99257,8.54705,0.98533,10.56402
-2.43874,8.23869,-0.46081,10.25734
0.45367,11.94324,2.4315,13.95936
-0.99233,11.63565,0.98553,13.65195
-2.43878,11.32745,-0.46093,13.34501
-2.43873,14.4166,-0.46085,16.43442
-3.88511,14.10743,-1.9072,16.12799
-5.33129,13.79709,-3.35335,15.82166
1.90021,13.79787,3.87824,15.81528
0.45389,13.49101,2.43177,15.50652
-0.99226,13.18345,0.98564,15.19919
-2.43855,12.87527,-0.46067,14.89235
-0.99237,8.55461,0.98564,10.57045
-2.43869,14.4351,-0.46075,16.45178
-3.88498,14.12594,-1.90698,16.14537
1.90012,10.73557,3.87816,12.75167
-2.43875,8.2851,-0.46068,10.30205
-2.43885,14.45985,-0.46088,16.47612
-3.88495,14.1508,-1.907,16.16984
-5.33093,13.84057,-3.3529,15.86366
-2.49847,9.80692,-0.40119,11.84821
-3.94482,9.49773,-1.84753,11.54179
1.84028,9.1816,3.93774,11.22341
-2.49828,8.25862,-0.40086,10.30099
-2.49822,14.44076,-0.40097,16.4827
-3.94453,14.13164,-1.84726,16.17636
-2.4986,9.81004,-0.40133,11.85182
-3.94457,9.50098,-1.84739,11.54551
1.84026,13.82522,3.93767,15.86746
0.39405,13.51844,2.49132,15.55877
-1.05191,13.21087,1.04537,15.2515
-2.49854,12.90262,-0.4013,14.94465
-3.94442,7.95766,-1.84718,10.00361
-2.49836,14.44245,-0.40123,16.48534
-3.94474,14.13328,-1.84761,16.17899
-5.39096,13.823,-3.29382,15.87283
-1.05212,10.11084,1.04499,12.15237
-2.49858,9.80268,-0.40148,11.84547
-3.94441,9.49367,-1.8473,11.5392
-1.05216,13.19992,1.04493,15.24157
-2.49811,12.89184,-0.401,14.93485
-3.94441,12.58269,-1.84735,14.62849
-5.39058,12.27238,-3.29348,14.32234
-2.49841,11.34696,-0.40142,13.39003
-2.49806,14.43748,-0.40107,16.48105
-3.94463,14.12837,-1.84758,16.17471
-5.39043,13.81817,-3.29343,15.86866
-2.49809,9.79753,-0.40115,11.84092
-3.9446,9.48838,-1.84761,11.5345
-1.05193,13.19273,1.04509,15.23489
-2.49853,12.88455,-0.40154,14.92809
-3.94425,12.57557,-1.84726,14.62186
-2.49814,8.24385,-0.40111,10.28813
-3.94463,7.9348,-1.84761,9.98179
1.84033,12.25535,3.93732,14.29872
0.3941,11.9485,2.4911,13.99029
-2.49808,14.42214,-0.40113,16.46584
-3.94458,14.11303,-1.84763,16.15954
1.84046,13.80058,3.93756,15.84419
-1.05202,13.18644,1.04498,15.22834
-2.49839,12.87834,-0.40143,14.9216
-1.05176,8.55452,1.04522,10.59664
-2.49824,8.24632,-0.40122,10.29015
-3.9443,7.93743,-1.84728,9.98389
-2.49834,14.43048,-0.40135,16.47355
-3.94443,14.12153,-1.84745,16.16735
-2.49811,14.4458,-0.40107,16.48803
-3.94459,14.13682,-1.84758,16.18183
-5.3907,13.82671,-3.29362,15.87579
1.84026,13.81421,3.93745,15.85619
-1.05202,13.20037,1.04505,15.24067
1.84049,9.17604,3.93766,11.21777
-5.39071,13.81689,-3.29362,15.86534
1.84034,13.82248,3.93749,15.86399
-1.05186,13.20875,1.04519,15.24858
1.84065,12.28401,3.93776,14.32543
-2.49805,14.44668,-0.40105,16.48855
-3.94438,14.13782,-1.84737,16.18249
1.84063,13.81053,3.93773,15.85255
-1.05207,13.19677,1.04481,15.23718
-2.4982,12.88895,-0.40133,14.93075
-3.9445,12.5802,-1.84761,14.62475
-5.39036,12.27028,-3.29345,14.31895
-2.49801,14.43858,-0.40115,16.48095
-3.94448,14.12972,-1.84762,16.17489
1.8404,13.82258,3.93732,15.86536
-1.0518,13.20902,1.04495,15.25016
-2.49833,12.90119,-0.40156,14.94369
1.84037,9.17329,3.93731,11.21625
-1.05203,8.55937,1.0448,10.60122
-2.4982,14.42392,-0.40146,16.46708
-3.94427,14.11519,-1.84754,16.16113
1.84062,13.79388,3.93741,15.83717
0.39458,13.48757,2.49127,15.52894
-1.05193,13.1803,1.04474,15.22196
-2.49785,12.87264,-0.40122,14.91568
1.84044,9.16427,3.93727,11.20757
1.8407,12.25913,3.93745,14.30202
0.39446,11.95256,2.49111,13.99393
-1.05183,11.64543,1.04481,13.68699
-2.498,11.33774,-0.40137,13.38062
-2.49813,14.43327,-0.40151,16.47648
-3.94449,14.12461,-1.84782,16.17059
1.84044,10.71199,3.93719,12.75495
1.84083,13.80043,3.93762,15.84372
-3.94418,12.57071,-1.84758,14.61643
1.84051,9.16442,3.93729,11.20756
0.39426,8.85818,2.49087,10.89918
-1.05207,8.55071,1.04463,10.59262
-2.49793,11.33421,-0.40135,13.37675
-2.49821,14.42571,-0.40161,16.46856
1.84075,13.81566,3.93756,15.85826
0.39441,13.50938,2.49105,15.55
1.84049,9.19098,3.93729,11.23334
-1.05184,8.57749,1.04486,10.61865
1.84053,12.27615,3.93728,14.31802
0.39429,11.96982,2.49095,14.0101
-2.49798,11.35534,-0.40141,13.39709
-2.49794,14.44086,-0.40133,16.4829
-3.94423,14.13233,-1.84758,16.17714
-5.39036,13.82266,-3.29369,15.87153
-2.49789,9.798,-0.40127,11.83941
1.84081,13.807,3.9376,15.84881
-1.05201,13.19377,1.04467,15.2339
-2.49796,12.88631,-0.40133,14.92779
-3.94453,12.57774,-1.8479,14.62192
-5.39072,12.26803,-3.29404,14.31634
1.84052,9.16992,3.9373,11.21148
-2.49781,11.34034,-0.40124,13.38127
-3.94447,11.03181,-1.84789,13.07554
-5.39054,13.814,-3.29386,15.86213
