South Bounding, West Bounding, North Bounding, East Bounding
-2.3895,8.2271,-0.5086,10.2722
-0.9418,11.6202,0.9395,13.6639
-2.3903,11.3123,-0.5094,13.3571
-5.2836,10.6945,-3.402,12.746
-3.8366,12.5439,-1.9556,14.5913
-5.2816,13.7838,-3.4,15.8348
-2.3879,8.2358,-0.5066,10.2805
1.9504,12.2513,3.8323,14.2967
-2.3899,14.428,-0.5081,16.4724
1.9483,13.7893,3.8297,15.8348
-2.3885,8.2159,-0.5073,10.2608
-5.2834,10.7131,-3.3998,12.7666
-2.3909,14.4158,-0.5081,16.4627
1.9495,10.6947,3.8329,12.7419
1.9507,13.777,3.8342,15.8244
0.5018,13.4696,2.3845,15.5149
-0.9435,13.162,0.9399,15.2076
-2.3882,12.8541,-0.5053,14.9005
1.9468,9.1333,3.8303,11.1805
0.5019,8.8265,2.385,10.8719
-0.9431,8.5189,0.9398,10.5643
1.9495,12.2262,3.8327,14.2733
0.5003,11.9185,2.3833,13.9637
-0.9448,11.6112,0.9382,13.6563
-2.3898,11.3034,-0.5067,13.3496
-0.9429,13.1716,0.9406,15.2169
-2.3876,12.8636,-0.5047,14.91
-3.8369,12.5536,-1.9537,14.6027
-5.2817,12.2435,-3.3982,14.2965
1.9483,9.1538,3.8315,11.2008
-0.942,8.5398,0.941,10.5849
-2.3916,8.2307,-0.5084,10.277
0.5013,11.9409,2.3846,13.9862
-2.3891,11.3253,-0.5059,13.3716
-5.2832,10.7052,-3.4,12.7579
-2.3897,14.4217,-0.5067,16.4677
-3.8351,14.1125,-1.9514,16.1615
-0.9416,10.0861,0.9414,12.1314
-2.3916,9.7768,-0.5079,11.8235
1.9498,13.7875,3.833,15.8341
0.5,13.4795,2.3835,15.525
-0.945,13.1723,0.938,15.2173
-2.3903,12.8643,-0.507,14.9105
1.9479,9.1629,3.8315,11.2094
0.5026,8.8558,2.386,10.901
1.9478,12.2624,3.8311,14.3089
-2.3886,11.3398,-0.505,13.3862
-2.3889,14.4271,-0.5058,16.4734
-3.8386,14.1169,-1.9549,16.1662
1.9495,10.7005,3.8332,12.7473
-2.3909,9.7771,-0.5076,11.823
1.9509,13.7871,3.8346,15.8338
