"dataset","group","categories"
"https://catalog.data.gov/dataset/map-of-arsenic-concentrations-in-groundwater-of-the-united-states","Climate","Human Health"
"https://catalog.data.gov/dataset/coal-data-and-statistics","Climate","Energy Infrastructure;Energy Demand;Energy Resources;Energy Supply"
"https://catalog.data.gov/dataset/freight-analysis-framework-reprocessed-state-annual-data-for-1997","Climate","Transportation;Transportation Nodes"
"https://catalog.data.gov/dataset/freight-analysis-framework-state-provisional-annual-data-for-2011","Climate","Transportation;Transportation Nodes"
"https://catalog.data.gov/dataset/freight-analysis-framework-state-database-for-2007-with-forecasts-through-2040","Climate","Transportation;Transportation Nodes"
"https://catalog.data.gov/dataset/natural-gas-data-and-statistics","Climate","Energy Infrastructure;Energy Demand;Energy Resources;Energy Supply;Infrastructure"
"https://catalog.data.gov/dataset/ntd-annual-module-data-set-1998-database","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/ntd-annual-module-data-set-1999-database","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/ntd-annual-module-data-set-2000-database","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/ntd-annual-module-data-set-2001-database","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/ntd-annual-module-data-set-2002-database","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/ntd-annual-module-data-set-2003-database","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/ntd-annual-module-data-set-2004-database","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/ntd-annual-module-data-set-2005-database","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/ntd-annual-module-data-set-2006-database","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/ntd-annual-module-data-set-2007-database","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/ntd-annual-module-data-set-2008-database","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/ntd-annual-module-data-set-2009-database","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/ntd-monthly-module-data-set-adjusted-data-release","Climate","Transportation;Transportation Flow"
"https://catalog.data.gov/dataset/pesticide-data-program-2008","Climate","Food Resilience;Food Production;Human Health"
"https://catalog.data.gov/dataset/a-global-database-of-gas-fluxes-from-soils-after-rewetting-or-thawing-version-1-0","Climate","Arctic;Arctic Weather and Extreme Events;Permafrost and Arctic Landscapes;Arctic-Global Teleconnections"
"https://catalog.data.gov/dataset/amsr-e-aqua-5-day-l3-global-snow-water-equivalent-ease-grids-v002","Climate","Arctic;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/amsr-e-aqua-daily-l3-12-5-km-tb-sea-ice-conc-snow-depth-polar-grids-v003","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/amsr-e-aqua-daily-l3-6-25-km-89-ghz-brightness-temperature-tb-polar-grids-v003","Climate","Arctic;Melting Glaciers, Snow and Ice;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/amsrice03-modis-imagery","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Permafrost and Arctic Landscapes;Arctic-Global Teleconnections"
"https://catalog.data.gov/dataset/arctic-water-vapor-characteristics-from-rawinsondes","Climate","Arctic;Arctic Weather and Extreme Events;Arctic Peoples and Ecosystems"
"https://catalog.data.gov/dataset/aster-l1b-registered-radiance-at-the-sensor-v003","Climate","Arctic;Melting Glaciers, Snow and Ice;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/bootstrap-sea-ice-concentrations-from-nimbus-7-smmr-and-dmsp-ssm-i-ssmis","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/clpx-airborne-micrometeorological-measurements-over-snow-airborne","Climate","Arctic;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/clpx-ground-snow-measurements-at-the-local-scale-observation-site-lsos","Climate","Arctic;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/comprehensive-ocean-atmosphere-data-set-coads-lmrf-arctic-subset","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Arctic Weather and Extreme Events;"
"https://catalog.data.gov/dataset/coordinated-eastern-arctic-experiment-cearex-data","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/dmsp-f8-ssm-i-pathfinder-global-level-2-sea-ice-concentrations","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/glas-icesat-l2-sea-ice-altimetry-data-hdf5-v034","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/icebridge-accumulation-radar-l1b-geolocated-radar-echo-strength-profiles-v002","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-atm-l0-raw-ranges","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-atm-l1b-elevation-and-return-strength-v002","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-atm-l4-surface-elevation-rate-of-change-v001","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-atmospheric-chemistry-l1b-data","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-cambot-l1b-geolocated-images","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-dms-l0-raw-imagery","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-dms-l1b-geolocated-and-orthorectified-images-v001","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-dms-l3-photogrammetric-dem","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-kt19-ir-surface-temperature-v001","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-ku-band-radar-l1b-geolocated-radar-echo-strength-profiles-v002","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-lvis-l0-raw-ranges","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-lvis-l1b-geolocated-return-energy-waveforms-v002","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-lvis-l2-geolocated-surface-elevation-product-v001","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-mcords-l1b-geolocated-radar-echo-strength-profiles-v002","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-mcords-l2-ice-thickness-v001","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-mcords-l3-gridded-ice-thickness-surface-and-bottom","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-narrow-swath-atm-l1b-elevation-and-return-strength-v002","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-ncar-navigation-state-parameter-and-microphysics-lrt-data","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-nserc-l1b-geolocated-meteorologic-and-surface-temperature-data","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-radar-l3-tomographic-ice-thickness-v001","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-riegl-laser-altimeter-l1b-time-tagged-laser-ranges","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-riegl-laser-altimeter-l2-geolocated-surface-elevation-triplets","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-sander-airgrav-l1b-geolocated-free-air-gravity-anomalies-v001","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-sander-airgrav-l4-bathymetry-v001","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-scintrex-cs-3-cesium-magnetometer-l0-raw-magnetic-field","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-scintrex-cs-3-cesium-magnetometer-l1b-geolocated-magnetic-anomalies","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-snow-radar-l1b-geolocated-radar-echo-strength-profiles-v002","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-uaf-lidar-profiler-l1b-geolocated-surface-elevation-triplets","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/icebridge-uaf-lidar-scanner-l1b-geolocated-surface-elevation-triplets","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/islscp-ii-atmospheric-carbon-dioxide-consumption-by-continental-erosion","Climate","Arctic;Permafrost and Arctic Landscapes;Arctic Peoples and Ecosystems"
"https://catalog.data.gov/dataset/measures-global-record-of-daily-landscape-freeze-thaw-status","Climate","Arctic;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/misr-level-1b2-ellipsoid-data-v003","Climate","Arctic;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/misr-near-real-time-nrt-level-1b2-ellipsoid-data-v001","Climate","Arctic;Melting Glaciers, Snow and Ice;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/modis-aqua-coarse-resolution-sea-ice-cover-5-min-l2-5km-v005-nrt","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/modis-aqua-sea-ice-extent-and-ist-daily-l3-global-4km-ease-grid-day-v005","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/modis-aqua-sea-ice-extent-daily-l3-global-1km-ease-grid-day-v005","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Permafrost and Arctic Landscapes;Arctic-Global Teleconnections"
"https://catalog.data.gov/dataset/modis-terra-sea-ice-extent-and-ist-daily-l3-global-4km-ease-grid-day-v005","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Permafrost and Arctic Landscapes;Arctic-Global Teleconnections"
"https://catalog.data.gov/dataset/ncep-ncar-arctic-marine-rawinsonde-archive","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/near-real-time-ssm-i-ease-grid-daily-global-ice-concentration-and-snow-extent-v002","Climate","Arctic;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/nimbus-7-smmr-derived-monthly-global-snow-cover-and-snow-depth","Climate","Arctic;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/nimbus-7-smmr-polar-gridded-radiances-and-sea-ice-concentrations","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/northern-hemisphere-ease-grid-2-0-weekly-snow-cover-and-sea-ice-extent","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/polar-pathfinder-daily-25-km-ease-grid-sea-ice-motion-vectors","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/satellite-observations-of-arctic-change","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/sea-ice-concentrations-from-nimbus-7-smmr-and-dmsp-ssm-i-ssmis-passive-microwave-data","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/amsr-e-aqua-daily-l3-25-km-tb-and-sea-ice-concentration-polar-grids-v003","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/glas-icesat-l1b-global-elevation-data-v034","Climate","Arctic;Melting Glaciers, Snow and Ice;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/glas-icesat-l2-sea-ice-altimetry-data-v034","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/amsr-e-aqua-daily-global-quarter-degree-gridded-brightness-temperatures","Climate","Arctic;Melting Glaciers, Snow and Ice;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/greenland-climate-network-gc-net-radiation-for-arctic-system-reanalysis","Climate","Arctic;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/historical-arctic-and-antarctic-surface-observational-data","Climate","Arctic;Arctic Weather and Extreme Events"
"https://catalog.data.gov/dataset/snow-melt-onset-over-arctic-sea-ice-from-smmr-and-ssm-i-brightness-temperatures","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Melting Glaciers, Snow and Ice"
"https://catalog.data.gov/dataset/national-census-of-ferry-operators-data-query-tool","Climate","Transportation;Transportation Network"
"https://catalog.data.gov/dataset/aerial-image-of-alaskas-arctic-coastal-plain-1955","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/aerial-images-of-alaskas-arctic-coastal-plain-1948-1949","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/aerial-images-of-alaskas-arctic-coastal-plain-1974-1979","Climate","Arctic;Arctic Ocean, Sea Ice and Coasts;Permafrost and Arctic Landscapes"
"https://catalog.data.gov/dataset/usgs-map-service-national-shoreline-change-long-term-shoreline-change-rates","Climate","Coastal Flooding;Ecosystem Vulnerability;Atmospheric, Earth and Ocean Sciences;Energy Infrastructure"
"https://catalog.data.gov/dataset/bias-corrected-spatially-downscaled-monthly-cmip5-climate-projections","Climate","Human Health;Water"
"https://catalog.data.gov/dataset/the-national-geochemical-survey-database-and-documentation","Climate","Ecosystem Vulnerability;Atmospheric, Earth and Ocean Sciences"
"https://catalog.data.gov/dataset/epa-office-of-water-ow-tmdls-on-impaired-waters-nhdplus-indexed-dataset","Climate","Water"
